country	country_code	continent	population	indicator	weekly_count	year_week	rate_14_day	cumulative_count	source	note	meta_extracted_date
Afghanistan	AFG	Asia	38928341	cases	407.0	2022-20	1.74166168550568	179674	Epidemic intelligence national data		2022-05-29
Afghanistan	AFG	Asia	38928341	deaths	7.0	2022-20	0.308258705399236	7697	Epidemic intelligence national data		2022-05-29
Africa (total)		Africa	1339423921	cases	53126.0	2022-20	7.45589192743706	11831362	Epidemic intelligence national data		2022-05-29
Africa (total)		Africa	1339423921	deaths	231.0	2022-20	0.418090188789454	253688	Epidemic intelligence national data		2022-05-29
Albania	ALB	Europe	2829741	cases	249.0	2022-20	17.5987837756176	275864	Epidemic intelligence national data		2022-05-29
Albania	ALB	Europe	2829741	deaths	0.0	2022-20	0.0	3497	Epidemic intelligence national data		2022-05-29
Algeria	DZA	Africa	43851043	cases	21.0	2022-20	0.0980592411450738	265841	Epidemic intelligence national data		2022-05-29
Algeria	DZA	Africa	43851043	deaths	0.0	2022-20	0.0	6875	Epidemic intelligence national data		2022-05-29
America (total)		America	1021703563	cases	994468.0	2022-20	202.764781784362	156477765	Epidemic intelligence national data		2022-05-29
America (total)		America	1021703563	deaths	4257.0	2022-20	8.31845978401467	2743667	Epidemic intelligence national data		2022-05-29
American Samoa	ASM	Oceania	55197	cases	88.0	2022-20	239.143431708245	6087	Epidemic intelligence national data		2022-05-29
American Samoa	ASM	Oceania	55197	deaths	0.0	2022-20	18.116926644564	30	Epidemic intelligence national data		2022-05-29
Andorra	AND	Europe	76177	cases	416.0	2022-20	1122.38602202765	42572	Epidemic intelligence national data		2022-05-29
Andorra	AND	Europe	76177	deaths	0.0	2022-20	0.0	153	Epidemic intelligence national data		2022-05-29
Angola	AGO	Africa	32866268	cases	146.0	2022-20	0.444224455298667	99433	Epidemic intelligence national data		2022-05-29
Angola	AGO	Africa	32866268	deaths	0.0	2022-20	0.0	1900	Epidemic intelligence national data		2022-05-29
Anguilla	AIA	America	15002	cases	132.0	2022-20	2186.37514998	3116	Epidemic intelligence national data		2022-05-29
Anguilla	AIA	America	15002	deaths	0.0	2022-20	0.0	9	Epidemic intelligence national data		2022-05-29
Antigua And Barbuda	ATG	America	97928	cases	187.0	2022-20	325.749530267135	7982	Epidemic intelligence national data		2022-05-29
Antigua And Barbuda	ATG	America	97928	deaths	1.0	2022-20	10.2115840209133	138	Epidemic intelligence national data		2022-05-29
Argentina	ARG	America	45195777	cases	43005.0	2022-20	168.732578709732	9177187	Epidemic intelligence national data		2022-05-29
Argentina	ARG	America	45195777	deaths	49.0	2022-20	2.1240922575576	128825	Epidemic intelligence national data		2022-05-29
Armenia	ARM	Europe	2963234	cases	22.0	2022-20	1.45111725904873	422939	Epidemic intelligence national data		2022-05-29
Armenia	ARM	Europe	2963234	deaths	1.0	2022-20	0.337469130011332	8624	Epidemic intelligence national data		2022-05-29
Aruba	ABW	America	106766	cases	644.0	2022-20	1152.05215143398	36564	Epidemic intelligence national data		2022-05-29
Aruba	ABW	America	106766	deaths	0.0	2022-20	9.36627765393477	213	Epidemic intelligence national data		2022-05-29
Asia (total)		Asia	4498460442	cases	1178338.0	2022-20	50.386838546751	132563392	Epidemic intelligence national data		2022-05-29
Asia (total)		Asia	4498460442	deaths	1611.0	2022-20	0.71491125496486	1300204	Epidemic intelligence national data		2022-05-29
Australia	AUS	Oceania	25499881	cases	360323.0	2022-20	2716.77346258988	6857879	Epidemic intelligence national data		2022-05-29
Australia	AUS	Oceania	25499881	deaths	306.0	2022-20	22.4706930985286	8027	Epidemic intelligence national data		2022-05-29
Austria	AUT	Europe	8932664	cases	20355.0	2022-20	561.635364321327	4258932	TESSy COVID-19		2022-05-29
Austria	AUT	Europe	8932664	deaths	25.0	2022-20	6.26912643305513	16157	TESSy COVID-19		2022-05-29
Azerbaijan	AZE	Europe	10139175	cases	39.0	2022-20	0.808744301188213	792712	Epidemic intelligence national data		2022-05-29
Azerbaijan	AZE	Europe	10139175	deaths	1.0	2022-20	0.0986273538034406	9710	Epidemic intelligence national data		2022-05-29
